Date,Open,High,Low,Close,Adjusted_close,Volume
"PLEASE NOTE! It's a sample only. All prices are outdated for 2 weeks ago. With API key you will get up to date prices. Thanks!",,,,,,
2022-09-28,147.64,150.64,144.84,149.84,149.84,146691400
2022-09-29,146.1,146.72,140.68,142.48,142.48,128138200
2022-09-30,141.28,143.1,138,138.2,138.2,124705400
2022-10-03,138.21,143.07,137.69,142.45,142.45,114311700
2022-10-04,145.03,146.22,144.26,146.1,146.1,87830100
2022-10-05,144.07,147.38,143.01,146.4,146.4,79471000
2022-10-06,145.81,147.54,145.22,145.43,145.43,68402200
2022-10-07,142.54,143.1,139.45,140.09,140.09,85859100
2022-10-10,140.42,141.89,138.57,140.42,140.42,74899000
2022-10-11,139.9,141.35,138.22,138.98,138.98,77033700
